X,Y,OBJECTID,Agency,Pro_Name,Address,Pro_type,Pro_Desc,Pro_Cost,Phase,Ownersh,Public_,Res_Units,Res_Type,Ins_Type,Rooms_H,Park_Spc,SqFoot,Cons_Type,LEED,TOD,VV_In,Green,C_Name,C_Email,C_Web,C_Phone,L_Update,Res1_Typ,CSYear,CSSeaso,CCYear,CCSeaso,BSqFtOFF,BSqFtRET,BSqFtRES,BSqFtIND,BSqFtHOT,BSqFtINS,BSqFtPar,BSqFtOth,Picture,Per_Jobs,Tem_Jobs,created_user,created_date,last_edited_user,last_edited_date
-76.618269832101106,39.293080412386551,6715,Downtown Partnership,La Quinta Hotel,200 W. Saratoga Street,Hotel,"Rehabilitation of historic building to 42 key hotel project, with La Quinta flag. ",3500000,Under Construction,Private,N/A,0,N/A,N/A,42,0,0,Rehabilitation,N/A,No,No,No,Front Street Dev LLC, , , ,2017-09-21T14:13:11.000Z,N/A,2011, ,2016, ,0,0,0,0,23100,0,0,0,https://c2.staticflickr.com/4/3733/19160393343_22d26a9c8f_m.jpg, ,35,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613389450226393,39.294173847457174,6716,Downtown Partnership,Mercy - Family Childbirth and Children's Center,345 St. Paul Place,Institutional,New center for childbirth and post-natal care at Mercy Medical Center.,24000000,Completed,Private,N/A,0,N/A,Healthcare,0,0,0,Rehabilitation,N/A, , , ,Mercy Medical Center, ,http://www.mdmercy.com/, ,2015-07-24T13:32:19.000Z,N/A,0, ,2012,Spring,0,0,0,0,0,0,0,0,https://c2.staticflickr.com/4/3774/19593276510_74c39101e1_m.jpg, ,240,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.626255170899171,39.28929831434175,6717,BDC,UMB Health Sciences Facility III,666 W. Baltimore Street,Institutional,"UMB is constructing the Health Sciences Facility III on the Downtown Westside campus. This will house space for the Medicine, Dentistry, & Pharmacy Schools.",305400000,Under Construction,Public,N/A,0,N/A,Healthcare,,,,New Construction,N/A,No,No,No,BDC,info@baltimoredevelopment.com,wwww.baltimoredevelopment.com,410-837-9305,2017-09-21T14:18:12.000Z,N/A,2013,Fall,2017,Fall,,,,,,428970,,,http://cityview.baltimorecity.gov/econview/images/comingsoon.jpg,376,3060,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.615736781368412,39.289067251794265,6718,Downtown Partnership,Mechanic Centre,1 W. Baltimore Street,Mixed-Use,"Mixed-use development project with two residential towers and 150,000 SF of first and second floor retail",150000000,Under Construction,Private,N/A,376,Rental,N/A,0,0,0,New Construction,Certified,Yes,No,No,Howard Brown,n/a,www.davidsbrown.com,(410) 358-1530,2015-07-24T13:27:35.000Z,Multiple Family,2014,Fall,2017,Spring,0,150000,432400,0,0,0,0,0,https://c2.staticflickr.com/4/3781/19755121696_f7b5329bd0_m.jpg,unknown,1500,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.612086661032961,39.276723713450629,6719,Downtown Partnership,1111 Light Street,1111 Light Street,Mixed-Use,"Mixed use project including 93 high end residential units, office, first floor retail, and parking.",33000000,Completed,Private,City,93,Rental,N/A,0,106,0,New Construction,Silver,No,No,No,Arsh Mirmiran,n/a,www.1111lightstreet.com,410-962-1111,2015-03-12T14:56:17.000Z,Multiple Family,2010,Summer,2012,Summer,22000,6000,106950,0,0,0,28620,0, http://bcplanning.files.wordpress.com/2013/05/1111.jpg,unknown,330,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.569146518906521,39.286437345175507,6720,BDC,Former Highlandtown Library Site,"3323 Eastern Avenue, Baltimore, MD 21224",Mixed-Use,Mixed-use project to rehabilitate the property into first floor retail and upper floor office space for Southeast Community Development Corp.,1257110,Completed,Private,N/A,0,N/A,N/A,0,0,,Rehabilitation,Gold,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,,2017-09-21T13:13:11.000Z,N/A,2012,Fall,2012,Winter,5045,2933,0,0,0,0,0,7978,http://farm6.staticflickr.com/5516/9953616344_e9df225941.jpg,17,0,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.627707215869762,39.282949109295252,6721,BDC,761-767 Washington Boulevard,"761-767 Washington Blvd.
Baltimore, MD 21230",Mixed-Use,Baltic Gold LLC rehabilitated the properties into a mixed-use structure with first floor retail and six market rate apartments.,710288,Completed,Private,N/A,6,Rental,N/A,0,0,,Rehabilitation,N/A,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2015-12-18T13:54:53.000Z,Multiple Family,2011,Winter,2012,Fall,0,4600,6900,,0,0,0,10898,http://farm6.staticflickr.com/5525/10041749854_7d3497e612.jpg,10,7,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.592096305987781,39.307288750617758,6722,BDC,Baltimore Food Hub,"1801 East Oliver Street
Baltimore, MD 21213",Institutional,"Sale and redevelopment of the City-owned properties located at 1801 E Oliver Street and 1731 Llewelyn Avenue between the  City  and American Communities Trust in order to develop an urban farming initiative with associated food processing, distribution, kitchen incubator and office space to be known as The Baltimore Food Hub ",16300000,Under Construction,Public-Private,N/A,0,N/A,N/A,0,0,,Both,N/A,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimorefoodhub.com,410-837-9305,2016-10-14T18:08:37.000Z,N/A,2015,Spring,2017,Spring,15500,0,0,11500,0,10500,0,37500,https://farm8.staticflickr.com/7433/16477430536_f326b5bc20_m.jpg,200,163,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.532444463596747,39.317138060907027,6723,BDC,Hollander 95 Business Park,"1901 62nd Street, Baltimore, MD 21237",Industrial,"The Hollander 95 Business Park is located at 62nd street on the former Hollander Ridge public housing complex. It has been under construction since the Fall 2008 and will house approx. 600,000 sf. of light industrial and warehouse space.",,Completed,Private,N/A,0,N/A,N/A,0,0,,New Construction,N/A,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2015-07-29T20:37:21.000Z,N/A,2008,Spring,2018,Summer,,0,0,,0,0,,,http://farm4.staticflickr.com/3782/9953597575_251c6ff65b.jpg,,,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.616855669498037,39.310799820350567,6724,BDC,Parkway Theatre,3 West North Avenue,Mixed-Use,"The Maryland Film Festival (MFF), in cooperation with Johns Hopkins University and the Maryland Institute College of Art, is pursuing redevelopment of the historic theater into the home of the MFF, classroom/instruction space and restaurant
",17000000,Completed,Public-Private,City,0,N/A,N/A,0,0,,Rehabilitation,N/A,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2017-06-13T20:09:05.000Z,N/A,2016,Winter,2017,Spring,0,6500,0,0,0,22500,0,29000,http://farm8.staticflickr.com/7336/10040582374_a20efaf4b6.jpg,0,0,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.704214135459125,39.350427390498261,6725,BDC,Social Security Administration,"6100 Wabash Avenue
Baltimore, MD 21215",Office,The Social Security Administration (SSA) relocated from 300 North Greene Street to Wabash Avenue,250000000,Completed,Public,Federal,0,N/A,N/A,0,1100,,New Construction,Silver,Yes,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2016-09-30T14:27:43.000Z,N/A,2011,Winter,2014,Spring,538000,,,,,,,538000,http://farm4.staticflickr.com/3746/9953718003_c81ce8816d.jpg,1600,2500,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.617820177291492,39.290691533158459,6726,BDC,Liberty Park Development LLC,142-144 W Fayette St & 102-106 N Liberty St,Mixed-Use,"14-story, 90-unit mixed-income residential tower with 6500 SF ground floor retail",25000000,Planned,Public-Private,City,90,Rental,N/A,0,0,,Both,Silver,Yes,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2016-09-30T13:28:41.000Z,Multiple Family,0,,,,0,6500,93500,0,0,0,0,100000,http://farm8.staticflickr.com/7361/9953616254_e4ce608a03.jpg,13,197,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.616228331619638,39.308925716631052,6727,BDC,Chesapeake Square (former Chesapeake Restaurant),1701 North Charles Street,Mixed-Use,The former Chesapeake Restaurant was redeveloped into a mixed use project that includes three restaurants and office space  and residential units on the upper levels,2000000,Completed,Public-Private,N/A,91,N/A,N/A,0,0,,Both,N/A,Yes,No,No,"Ernst Valery
","evalery@eviequity.com
",,"410-962-5460
",2015-12-23T14:45:45.000Z,Multiple Family,2011,Winter,2013,Spring,2000,8000,104650,0,0,0,0,115000,https://farm8.staticflickr.com/7360/16504139245_a219fe717a_m.jpg,35,20,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.629044912101122,39.288798261560217,6728,BDC,UMB Bio Park Buiding II,"801 West Baltimore Street
Baltimore, MD 21201",Institutional,University of MD Baltimore Bio Park,78000000,Completed,Public-Private,City,0,N/A,N/A,0,638,,New Construction,N/A,No,No,No,John Shulze,johnshulze@cassidyturley.com,"www.umbbiopark.com
",410-347-7549,2015-12-18T14:11:25.000Z,N/A,2008,Spring,2011,Summer,50000,0,0,0,0,180000,172260,230000,http://farm8.staticflickr.com/7456/9953619116_480d50e85b.jpg,550,780,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.548505224183657,39.270417462476892,6729,BDC,Chesapeake Commerce Center,"5003 Holabird Avenue
Baltimore, MD 21224",Industrial,"The Duke Realty Corp. purchased the 187 acre site from General Motors after it closed its car manufacturing plant in 2005.  The site now hosts several industrial users, including two new Amazon facilities.  BDC has been coordinating with Duke Realty through the various stages of the development.",,Completed,Private,N/A,0,N/A,N/A,0,0,,New Construction,,No,No,No,BDC,info@baltimoredevelopment.com,www.baltimoredevelopment.com,410-837-9305,2015-07-21T19:08:50.000Z,N/A,2008,Spring,2015,Spring,0,0,0,,0,0,0,,"http://farm8.staticflickr.com/7364/10084208443_4e2e9886cf.jpg"" width=""307"" height=""216",,,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.565949725268553,39.280844336117447,6730,BDC,Brewers Hill,"3600 O'Donnell Street
Baltimore, MD 21224",Mixed-Use,Brewers Hill is a mixed-use development located on the former National and Gunther Breweries complex.  The project led by Obrecht Commercial Real Estate has retained much of the complex's buildings by using innovative adaptive re-use strategy.,120000000,Completed,Private,N/A,0,Rental,N/A,0,870,,Both,Silver,Yes,No,No,Wells Obrecht,info@baltimoredevelopment.com,http://brewershill.net/,4108379305,2015-12-18T14:13:27.000Z,Multiple Family,2008,Fall,2014,Summer,350000,33500,,0,0,0,234900,1093092,http://farm3.staticflickr.com/2859/10083870623_949a3cedee.jpg,550,450,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613027700631278,39.272924411247978,6731,Downtown Partnership,Harbor Square,20 E. Fort Avenue,Residential,10 newly constructed townhouses,2500000,Completed,Private,N/A,10,For Sale,N/A,0,0,0,New Construction,N/A,No,No,No,Stonewall Capital, ," http://harborsquarebaltimore.com 
", ,2015-07-24T13:18:28.000Z,Single Family,2012,Spring,2013,Fall,0,0,11500,0,0,0,0,0,https://c1.staticflickr.com/1/305/19774019552_d2b6b2b26c_m.jpg, ,25,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.614391463698368,39.29408167450417,6732,Downtown Partnership,336 St. Paul Street Residential Conversion,336 St. Paul Street,Residential,Conversion of historic office building into residential building with first floor commercial,500000,Completed,Private,N/A,6,Rental,N/A,0,0,0,Rehabilitation,N/A,No,No,No,THA-Advisory,info@dpob.org," http://tha-advisory.com/ 
", ,2015-07-24T13:12:58.000Z,Multiple Family,2012,Summer,2013,Summer,0,1500,6900,0,0,0,0,0,https://c1.staticflickr.com/1/336/19158700974_6133499210_m.jpg, ,5,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613560461643914,39.296159601569663,6733,Downtown Partnership,521 St. Paul Street Renovation/Conversion,521-545 St. Paul Street,Residential,Conversion of office building and new construction into market rate apartments,12000000,Completed,Private,N/A,69,Rental,N/A,0,0,0,Both,Certified,No,No,No,PMC Property Group,,www.pmcpropertygroup.com/,,2015-03-10T20:51:32.000Z,Multiple Family,2012,Winter,2013,Winter,0,0,79350,0,0,0,0,0, http://bcplanning.files.wordpress.com/2013/05/521stpaul.jpg, ,120,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613157714213756,39.290018662838449,6734,Downtown Partnership,Wilkes Lane Improvements,"E Fayette, N Calvert, E Baltimore, St Paul Streets",Park & Open Space,Ongoing renovation and beautification of existing plaza.,,Under Construction,Public,N/A,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,Yes,"Downtown Partnership of Baltimore, Inc.",info@dpob.org ,www.godowntownbaltimore.com ,410-244-1030 ,2015-07-17T20:29:24.000Z,N/A,2011, ,2016, ,0,0,0,0,0,0,0,0,https://c1.staticflickr.com/1/466/19593287168_7534a1ea27_m.jpg, ,5,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.616623962113536,39.288658993813534,6735,Downtown Partnership,Hopkins Plaza Art Installation,"Lombard, Charles, Baltimore Streets & Park Avenue",Park & Open Space,"Installation of major work of art at Hopkins Plaza fountain, as part of plaza beautification efforts.",200000,Completed,Private,N/A,0,N/A,N/A,0,0,0,New Construction,N/A, , , ,Downtown Partnership, ,godowntonbaltimore.com, ,2015-07-24T13:23:28.000Z,N/A,0, ,2012, ,0,0,0,0,0,0,0,0,https://c1.staticflickr.com/1/416/19755122056_155c793fc5_m.jpg, ,2,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.617874476857637,39.289732192289897,6736,Downtown Partnership,Liberty Park Dog Walk Surface Improvements,Park Avenue & N Liberty St,Park & Open Space,Improvements to dog walk at Liberty and Park Avenue.,75000,Completed,Private,N/A,0,N/A,N/A,0,0,0,Rehabilitation,N/A, , , ,"Downtown Partnership of Baltimore, Inc.", ,godowntownbaltimore.com, ,2015-07-24T13:26:03.000Z,N/A,0, ,2012, ,0,0,0,0,0,0,0,0,https://c1.staticflickr.com/1/441/19786049141_e7f20f8ecc_m.jpg, ,0.750000,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.613966839974665,39.296394698782542,6737,Downtown Partnership,St. Paul Gateway to Downtown,St. Paul and Centre Streets,Public Infrastructure,Landscaping Improvements to highly visible park sp,40000,Completed,Private,N/A,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,Yes,"Downtown Partnership of Baltimore, Inc.", ,godowntownbaltimore.com, ,2015-07-24T12:58:23.000Z,N/A,0, ,2012, ,0,0,0,0,0,0,0,0,https://c1.staticflickr.com/1/261/19158940783_4a24f4aa5f_m.jpg, ,0.400000,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.614456809403507,39.290538499754327,6738,Downtown Partnership,Best Hotel Western Envy (Hotel Junker Renovation),22 East Fayette,Hotel,Rehabilitation of office building to small hotel with Best Western Envy flag.,7000000,Completed,Private,N/A,0,N/A,N/A,49,0,0,Rehabilitation,N/A, , , , Tran Group, , , ,2017-09-21T14:22:43.000Z,N/A,0, ,2011, ,0,0,0,0,26950,0,0,0,https://c1.staticflickr.com/1/478/19593288298_3872d575c0_m.jpg, ,70,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.614666746908597,39.293666213504935,6739,Downtown Partnership,Home2 Suites by Hilton,8 East Pleasant Street,Hotel,Renovation and flag change of existing hotel. Renovation added 37 rooms.re,1400000,Completed,Private,N/A,0,N/A,N/A,37,0,0,Rehabilitation,N/A, , , , Baywood Hotels, , http://www.baywoodhotels.com, ,2015-07-24T13:22:10.000Z,N/A,0, ,2011, ,0,0,0,0,20350,0,0,0,https://c1.staticflickr.com/1/280/19774019422_1bb54ff3a3_m.jpg, ,14,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.624530122293621,39.28424359142123,6740,Downtown Partnership,Rachael's Dowry Bed and Breakfast,637 Washington Boulevard,Hotel,Conversion of former home to bed and breakfast.,500000,Completed,Private,N/A,0,N/A,N/A,6,12,0,Rehabilitation,N/A,No,No,No, Rachael's Dowry Bed and Breakfast, , http://www.rachaelsdowrybedandbreakfast.com/, ,2017-09-21T14:39:20.000Z,N/A,0, ,2010, ,0,0,0,0,3300,0,3240,0,https://c1.staticflickr.com/1/343/19786048851_8dff4673f5_m.jpg, ,5,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.607135301422574,39.292584671370996,6741,Downtown Partnership,Sleep Inn and Suites,"300 North Front Street
",Hotel,Newly Constructed Sleep Inn and Suites flag hotel.,5000000,Completed, ,N/A,0,N/A,N/A,62,8,0,New Construction,N/A, , , ," Front Street Development, LLC", , , ,2015-07-24T12:55:59.000Z,N/A,0, ,2010, ,0,0,0,0,34100,0,2160,0,https://c1.staticflickr.com/1/347/19158940773_d2c898bac5_m.jpg, ,50,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.596348304589796,39.282326795231455,6742,Downtown Partnership,The Inn at the Black Olive,803 South Caroline Street,Hotel,Ground up construction of green boutique hotel.,7000000,Completed,Private,N/A,0,N/A,N/A,12,0,0,New Construction,Gold,No,No,No," Black Olive Development Company, LLC ", , http://www.theblackolive.com/Inn/, ,2015-07-24T13:25:14.000Z,N/A,0, ,2011, ,0,8000,0,0,6600,0,0,0,https://c1.staticflickr.com/1/484/19160393433_2629300b60_m.jpg, ,70,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.621624186727999,39.283963795352996,6743,Downtown Partnership,Camden Yards Upgrades,333 West Camden Street,Institutional,Renovation/Construction,10000000,Completed,Public,N/A,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,No,Maryland Stadium Authority, ,http://www.mdstad.com, ,2015-07-24T13:16:36.000Z,N/A,0, ,2011, ,0,0,0,0,0,0,0,0,https://c2.staticflickr.com/4/3774/19593277320_2f9b7bf1c1_m.jpg, ,100,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.621512085863472,39.283976036763093,6744,Downtown Partnership,Camden Yards Year-Round Attraction Project,333 West Camden Street,Institutional,New Construction,2300000,Completed,Public,N/A,0,N/A,N/A,0,0,0,Rehabilitation,N/A,No,No,No,Maryland Stadium Authority, ,http://www.mdstad.com/, ,2015-07-24T13:16:42.000Z,N/A,0, ,2012, ,0,0,0,0,0,0,0,0,https://c2.staticflickr.com/4/3774/19593277320_2f9b7bf1c1_m.jpg, ,23,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
-76.608513407371674,39.292879371338898,6745,Downtown Partnership,Healthcare for the Homeless,401 Fallsway,Institutional,"Ground up construction of new building to serve as new headquarters and service center for Healthcare for the Homeless.
",15500000,Completed,Private,N/A,0,N/A,N/A,0,6,0,New Construction,N/A, , , ," Healthcare for the Homeless, Inc. ", ,  http://www.hchmd.org/, ,2015-07-24T13:21:34.000Z,N/A,, ,2010, ,0,0,0,0,0,0,1620,0,https://c1.staticflickr.com/1/345/19158700624_bf1e46271d_m.jpg, ,155,EGISDATA,2017-10-23T19:02:01.000Z,EGISDATA,2017-10-23T19:02:01.000Z
